season,week_ending_date,sars_cov2_log10_copies_ml,data_source,region,notes
2022/2023,2022-07-09,18.97,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-07-16,17.11,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-07-23,15.39,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-07-30,13.19,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-08-06,9.99,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-08-13,7.90,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-08-20,6.33,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-08-27,6.43,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-09-03,5.13,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-09-10,5.21,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-09-17,4.00,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-09-24,3.58,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-10-01,4.01,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-10-08,3.28,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-10-15,2.84,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-10-22,2.83,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-10-29,3.00,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-11-05,4.49,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-11-12,5.44,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-11-19,7.34,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-11-26,9.75,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-12-03,18.60,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-12-10,16.73,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-12-17,18.13,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-12-24,16.23,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2022-12-31,16.72,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-01-07,13.88,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-01-14,8.82,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-01-21,7.00,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-01-28,6.27,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-02-04,7.71,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-02-11,9.36,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-02-18,8.15,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-02-25,9.21,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-03-04,9.24,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-03-11,8.47,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-03-18,8.18,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-03-25,6.15,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-04-01,5.68,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-04-08,5.25,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-04-15,4.64,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-04-22,4.29,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-04-29,3.69,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-05-06,4.23,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-05-13,4.31,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-05-20,3.52,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-05-27,3.19,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-06-03,3.15,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-06-10,2.61,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-06-17,2.52,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-06-24,2.36,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2022/2023,2023-07-01,2.73,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-07-08,2.90,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-07-15,3.68,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-07-22,3.89,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-07-29,5.31,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-08-05,6.26,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-08-12,7.42,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-08-19,8.58,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-08-26,8.60,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-09-02,9.89,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-09-09,8.37,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-09-16,8.10,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-09-23,6.32,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-09-30,5.77,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-10-07,5.06,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-10-14,4.63,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-10-21,4.68,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-10-28,5.02,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-11-04,4.83,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-11-11,5.16,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-11-18,6.38,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-11-25,6.33,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-12-02,8.43,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-12-09,8.41,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-12-16,10.20,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-12-23,14.44,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2023-12-30,16.19,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-01-06,17.73,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-01-13,14.51,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-01-20,12.85,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-01-27,12.41,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-02-03,10.13,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-02-10,8.33,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-02-17,7.60,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-02-24,5.80,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-03-02,4.30,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-03-09,3.76,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-03-16,3.15,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-03-23,2.93,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-03-30,2.58,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-04-06,2.62,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-04-13,2.29,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-04-20,2.37,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-04-27,1.90,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-05-04,2.10,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-05-11,2.60,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-05-18,3.47,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-05-25,3.75,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-06-01,4.66,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-06-08,5.36,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-06-15,6.97,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-06-22,8.10,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2023/2024,2024-06-29,8.14,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-07-06,8.75,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-07-13,11.61,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-07-20,12.85,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-07-27,13.81,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-08-03,15.25,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-08-10,14.12,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-08-17,14.43,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-08-24,12.77,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-08-31,11.56,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-09-07,10.08,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-09-14,7.44,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-09-21,5.55,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-09-28,3.73,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-10-05,3.56,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-10-12,2.69,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-10-19,2.22,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-10-26,1.98,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-11-02,2.20,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-11-09,1.87,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-11-16,2.06,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-11-23,2.43,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-11-30,1.87,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-12-07,2.79,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-12-14,2.80,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-12-21,3.44,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2024-12-28,3.48,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-01-04,4.43,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-01-11,4.32,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-01-18,3.66,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-01-25,3.38,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-02-01,4.67,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-02-08,3.57,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-02-15,2.72,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-02-22,2.57,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-03-01,1.90,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-03-08,1.73,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-03-15,1.60,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-03-22,1.73,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-03-29,2.15,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-04-05,2.11,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-04-12,1.96,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-04-19,1.88,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-04-26,1.96,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-05-03,2.38,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-05-10,2.95,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-05-17,2.50,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-05-24,2.47,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-05-31,2.78,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-06-07,2.88,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-06-14,2.82,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-06-21,2.90,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-06-28,3.30,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-07-05,3.67,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-07-12,4.05,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-07-19,4.76,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-07-26,5.05,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
2024/2025,2025-08-02,5.60,CDPH California Wastewater Surveillance,California Statewide,Log10 viral gene copies/mL
